Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
22/11/2023,Cruzeiro,2x2,Vasco,43.2 %,36.2 %,20.7 %
22/11/2023,Fluminense,1x0,São Paulo,45.7 %,27.9 %,26.4 %
23/11/2023,Flamengo,1x0,Red Bull Bragantino,48.5 %,27.6 %,23.9 %
23/11/2023,Fortaleza,2x2,Botafogo,34.7 %,26.5 %,38.8 %
24/11/2023,Corinthians,1x5,Bahia,53.8 %,26.0 %,20.2 %
25/11/2023,Fluminense,2x1,Coritiba,67.2 %,18.9 %,13.9 %
25/11/2023,Athletico PR,0x0,Vasco,52.5 %,25.8 %,21.7 %
26/11/2023,Botafogo,1x1,Santos,68.7 %,19.2 %,12.2 %
26/11/2023,São Paulo,0x0,Cuiabá,46.2 %,32.0 %,21.7 %
26/11/2023,Atlético MG,3x0,Grêmio,53.7 %,24.6 %,21.7 %
26/11/2023,Internacional,1x0,Red Bull Bragantino,33.4 %,28.3 %,38.3 %
26/11/2023,Fortaleza,2x2,Palmeiras,31.1 %,26.2 %,42.6 %
26/11/2023,América MG,0x3,Flamengo,23.6 %,22.1 %,54.3 %
27/11/2023,Goiás,0x1,Cruzeiro,40.6 %,33.1 %,26.3 %
