Diferença,Vitória melhor Elo,Vitória pior Elo,Empate,Elo igual,Total de jogos,Vitória melhor Elo (%),Vitória pior Elo (%),Elo igual (%),Empate (%)
18.799999999999955,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
55.24000000000001,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
46.820000000000164,2.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
0.8299999999999272,1.0,2.0,1.0,0.0,4.0,25.0,50.0,0.0,25.0
37.41000000000008,3.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0
11.589999999999918,2.0,2.0,1.0,0.0,5.0,40.0,40.0,0.0,20.0
23.8599999999999,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
88.4699999999998,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
3.480000000000018,1.0,2.0,2.0,0.0,5.0,20.0,40.0,0.0,40.0
10.950000000000045,3.0,0.0,1.0,0.0,4.0,75.0,0.0,0.0,25.0
2.9299999999998363,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
0.5199999999999818,1.0,3.0,0.0,0.0,4.0,25.0,75.0,0.0,0.0
4.25,0.0,1.0,3.0,0.0,4.0,0.0,25.0,0.0,75.0
4.960000000000036,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
26.700000000000045,1.0,2.0,1.0,0.0,4.0,25.0,50.0,0.0,25.0
0.14000000000010004,1.0,0.0,1.0,0.0,2.0,50.0,0.0,0.0,50.0
74.48000000000002,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
77.83000000000015,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
43.06000000000017,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
2.6700000000000728,0.0,5.0,3.0,0.0,8.0,0.0,62.5,0.0,37.5
28.769999999999982,1.0,3.0,1.0,0.0,5.0,20.0,60.0,0.0,20.0
2.3199999999999363,1.0,2.0,1.0,0.0,4.0,25.0,50.0,0.0,25.0
0.029999999999972715,1.0,2.0,0.0,0.0,3.0,33.33333333333333,66.66666666666666,0.0,0.0
30.139999999999873,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
9.720000000000027,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
9.069999999999936,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
31.700000000000045,2.0,2.0,0.0,0.0,4.0,50.0,50.0,0.0,0.0
97.57999999999993,1.0,0.0,1.0,0.0,2.0,50.0,0.0,0.0,50.0
8.549999999999955,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,100.0
43.74000000000001,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
8.970000000000027,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0
0.12999999999988177,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
7.7999999999999545,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
25.49000000000001,2.0,2.0,1.0,0.0,5.0,40.0,40.0,0.0,20.0
15.63000000000011,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
48.91000000000008,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
24.99000000000001,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
88.8900000000001,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
11.460000000000036,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
22.220000000000027,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
0.17000000000007276,1.0,3.0,0.0,0.0,4.0,25.0,75.0,0.0,0.0
7.670000000000073,2.0,0.0,1.0,0.0,3.0,66.66666666666666,0.0,0.0,33.33333333333333
67.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
22.090000000000146,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
0.8800000000001091,1.0,0.0,2.0,0.0,3.0,33.33333333333333,0.0,0.0,66.66666666666666
1.599999999999909,1.0,2.0,0.0,0.0,3.0,33.33333333333333,66.66666666666666,0.0,0.0
3.0299999999999727,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
11.400000000000091,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
88.71000000000004,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,100.0
14.690000000000055,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
156.85000000000014,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
6.099999999999909,1.0,2.0,0.0,0.0,3.0,33.33333333333333,66.66666666666666,0.0,0.0
22.25999999999999,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
20.200000000000045,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
20.720000000000027,2.0,0.0,1.0,0.0,3.0,66.66666666666666,0.0,0.0,33.33333333333333
24.779999999999973,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
7.490000000000009,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
1.2799999999999727,0.0,2.0,2.0,0.0,4.0,0.0,50.0,0.0,50.0
20.75999999999999,2.0,2.0,2.0,0.0,6.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
39.16000000000008,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
9.779999999999973,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
50.31000000000017,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
82.09999999999991,0.0,1.0,2.0,0.0,3.0,0.0,33.33333333333333,0.0,66.66666666666666
16.819999999999936,3.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0
59.11000000000013,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
39.84999999999991,1.0,0.0,1.0,0.0,2.0,50.0,0.0,0.0,50.0
6.440000000000055,0.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0
15.470000000000027,0.0,3.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0
15.960000000000036,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
36.63000000000011,1.0,0.0,1.0,0.0,2.0,50.0,0.0,0.0,50.0
23.559999999999945,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
75.84999999999991,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
9.910000000000082,0.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0
76.06000000000017,2.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0
34.75,2.0,2.0,0.0,0.0,4.0,50.0,50.0,0.0,0.0
33.8599999999999,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
72.50999999999999,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
2.480000000000018,1.0,3.0,1.0,0.0,5.0,20.0,60.0,0.0,20.0
18.220000000000027,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
40.01999999999998,1.0,2.0,2.0,0.0,5.0,20.0,40.0,0.0,40.0
4.8400000000001455,0.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0
14.600000000000136,2.0,1.0,0.0,0.0,3.0,66.66666666666666,33.33333333333333,0.0,0.0
22.87000000000012,0.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0
23.74000000000001,0.0,2.0,1.0,0.0,3.0,0.0,66.66666666666666,0.0,33.33333333333333
127.25,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
35.169999999999845,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
8.52000000000021,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
38.460000000000036,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
59.24000000000001,1.0,1.0,1.0,0.0,3.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
4.120000000000118,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
88.47000000000003,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
99.94000000000005,0.0,1.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0
5.400000000000091,3.0,0.0,2.0,0.0,5.0,60.0,0.0,0.0,40.0
29.98999999999978,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
5.369999999999891,1.0,1.0,2.0,0.0,4.0,25.0,25.0,0.0,50.0
28.889999999999873,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
9.160000000000082,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
56.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
28.24000000000001,0.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0
55.70999999999981,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
6.8599999999999,1.0,1.0,0.0,0.0,2.0,50.0,50.0,0.0,0.0
48.6099999999999,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
