Data,Casa,Resultado,Fora
"Qui, 09/03/2023 20:00
            - GRUPO 59 |  Jogo: 46",Botafogo - SP,3 x 1,São Raimundo - RR
"Qui, 09/03/2023 21:30
            - GRUPO 57 |  Jogo: 47",Santos - SP,3 x 0,Iguatu - CE
"Ter, 14/03/2023 20:00
            - GRUPO 50 |  Jogo: 48 
              - 
          1 alteração",Maringá Futebol Clube S.a.f. - PR,2 x 0,Marcílio Dias - SC
"Ter, 14/03/2023 20:00
            - GRUPO 52 |  Jogo: 49",Coritiba - PR,(6)1 x 1(5),Criciúma - SC
"Ter, 14/03/2023 21:30
            - GRUPO 49 |  Jogo: 50 
              - 
          1 alteração",America Fc S.a.f. - MG,1 x 0,Santa Cruz - PE
"Qua, 15/03/2023 15:30
            - GRUPO 60 |  Jogo: 51",Nova Iguaçu - RJ,5 x 2,Nova Mutum Ec - MT
"Qua, 15/03/2023 19:00
            - GRUPO 43 |  Jogo: 52",Ituano - SP,(4)1 x 1(2),Ceará - CE
"Qua, 15/03/2023 19:00
            - GRUPO 47 |  Jogo: 53",Aguia de Maraba - PA,(7)0 x 0(6),Goiás - GO
"Qua, 15/03/2023 19:00
            - GRUPO 53 |  Jogo: 58 
              - 
          1 alteração",Atlético - GO,(4)1 x 1(5),Volta Redonda - RJ
"Qua, 15/03/2023 19:30
            - GRUPO 44 |  Jogo: 55 
              - 
          1 alteração",Crb - AL,5 x 0,Operário - MS
"Qua, 15/03/2023 20:00
            - GRUPO 45 |  Jogo: 54 
              - 
          1 alteração",Botafogo - RJ,7 x 1,Brasiliense - DF
"Qua, 15/03/2023 21:30
            - GRUPO 55 |  Jogo: 56",Ypiranga - RS,3 x 1,Red Bull Bragantino - SP
"Qui, 16/03/2023 19:00
            - GRUPO 48 |  Jogo: 57",Csa - AL,1 x 0,Brusque - SC
"Qui, 16/03/2023 20:00
            - GRUPO 41 |  Jogo: 59",Grêmio - RS,3 x 0,Ferroviário - CE
"Qui, 16/03/2023 21:30
            - GRUPO 56 |  Jogo: 60",Vasco da Gama S.a.f. - RJ,(5)0 x 0(6),Abc - RN
"Ter, 11/04/2023 16:30
                - GRUPO 66 |  Jogo: 66",Volta Redonda - RJ,1 x 2,Bahia - BA
"Qui, 27/04/2023 19:00
                    - GRUPO 66 |  Jogo: 82",Bahia - BA,4 x 0,Volta Redonda - RJ
"Ter, 11/04/2023 19:00
                - GRUPO 61 |  Jogo: 61",Botafogo - SP,0 x 2,Santos - SP
"Qua, 26/04/2023 19:00
                    - GRUPO 61 |  Jogo: 77",Santos - SP,1 x 0,Botafogo - SP
"Ter, 11/04/2023 20:00
                - GRUPO 73 |  Jogo: 73",Internacional - RS,2 x 1,Csa - AL
"Qui, 27/04/2023 20:00
                    - GRUPO 73 |  Jogo: 89",Csa - AL,(6)2 x 1(7),Internacional - RS
"Ter, 11/04/2023 21:30
                - GRUPO 70 |  Jogo: 70",São Paulo - SP,0 x 0,Ituano - SP
"Ter, 25/04/2023 21:30
                    - GRUPO 70 |  Jogo: 86",Ituano - SP,0 x 1,São Paulo - SP
"Ter, 11/04/2023 21:30
                - GRUPO 74 |  Jogo: 74",Fortaleza - CE,6 x 1,Aguia de Maraba - PA
"Qua, 26/04/2023 19:30
                    - GRUPO 74 |  Jogo: 90",Aguia de Maraba - PA,0 x 2,Fortaleza - CE
"Qua, 12/04/2023 16:30
                - GRUPO 62 |  Jogo: 62",Nova Iguaçu - RJ,1 x 2,America Fc S.a.f. - MG
"Qua, 26/04/2023 21:30
                    - GRUPO 62 |  Jogo: 78 
                      - 
              1 alteração",America Fc S.a.f. - MG,5 x 0,Nova Iguaçu - RJ
"Qua, 12/04/2023 19:00
                - GRUPO 63 |  Jogo: 63",Coritiba - PR,3 x 3,Sport - PE
