Tamanho da diferença,Vitória do melhor Elo casa (%),Vitória do melhor Elo fora (%),Empate (%),Vitória do pior Elo casa (%),Vitória do pior Elo fora (%),Total de jogos
0.0,10.576444252914841,24.804160980631572,27.670203033980123,25.99439775910364,10.837702602408484,1501.0
5.0,12.083973374295955,25.652476044181114,25.29332162972716,25.798771121351766,11.171457830444005,1350.0
10.0,10.676027041081642,25.348785379986627,27.149543124582124,25.223980387786938,11.601664066562662,1297.0
15.0,12.265232179828454,27.562358276643995,25.59893522626442,24.20228236222025,10.371191955042887,1263.0
20.0,11.483942414174972,26.11849390919158,28.36378737541528,23.241971207087484,10.791805094130677,1189.0
25.0,11.952777777777778,26.930555555555554,26.313888888888886,22.002777777777776,12.8,1127.0
30.0,12.175306238338605,25.48254509072226,31.495903301695463,21.36854060193072,9.477704767312943,1084.0
35.0,13.131933777095067,25.365250042669395,30.875149342891277,21.28605564089435,9.341611196449906,992.0
40.0,11.169201520912548,28.184410646387832,26.343472750316856,23.40937896070976,10.893536121673003,941.0
45.0,12.905897945659378,29.52286282306163,25.417495029821072,22.72697150430749,9.426772697150431,835.0
50.0,11.475728155339805,29.796116504854368,28.896440129449836,20.796116504854368,9.035598705501618,834.0
55.0,14.72108843537415,25.591836734693878,27.690476190476193,21.6734693877551,10.32312925170068,785.0
60.0,12.872714486638538,27.454289732770746,26.269338959212376,23.79746835443038,9.60618846694796,699.0
65.0,12.863901018922853,26.815866084425036,29.92721979621543,21.77947598253275,8.61353711790393,671.0
70.0,16.32850241545894,27.745571658615134,26.936392914653783,19.037842190016104,9.951690821256038,605.0
75.0,15.52757793764988,27.00239808153477,28.377298161470826,20.079936051159073,9.012789768185453,598.0
80.0,16.05169340463458,28.253119429590015,27.54901960784314,22.388591800356508,5.757575757575758,536.0
85.0,14.658356417359188,29.085872576177284,28.693444136657433,18.882733148661128,8.679593721144968,506.0
90.0,16.76272814601345,30.235350624399615,25.936599423631122,19.04418828049952,8.021133525456293,457.0
95.0,14.331140350877194,30.586622807017545,25.49890350877193,22.56578947368421,7.017543859649123,404.0
100.0,19.276094276094277,28.92817059483726,22.699214365881033,23.28843995510662,5.808080808080808,400.0
105.0,16.205305651672433,33.44867358708189,24.682814302191463,17.301038062283737,8.362168396770473,360.0
110.0,19.98069498069498,25.418275418275417,25.28957528957529,22.74774774774775,6.563706563706564,321.0
115.0,17.564102564102566,34.03846153846154,24.294871794871796,18.141025641025642,5.961538461538462,308.0
120.0,21.03174603174603,29.530423280423282,23.875661375661377,21.858465608465607,3.7037037037037037,316.0
125.0,21.180555555555554,31.805555555555554,24.02777777777778,16.73611111111111,6.25,290.0
130.0,14.847161572052402,30.276564774381367,23.871906841339158,22.125181950509464,8.879184861717613,264.0
135.0,17.385786802030456,31.218274111675125,26.01522842639594,16.878172588832488,8.50253807106599,231.0
140.0,26.902173913043477,32.2463768115942,20.56159420289855,15.1268115942029,5.163043478260869,209.0
145.0,22.903225806451612,28.924731182795696,21.397849462365592,17.419354838709676,9.35483870967742,170.0
150.0,21.775793650793652,31.696428571428573,24.107142857142858,15.972222222222223,6.448412698412698,191.0
155.0,23.620309050772626,30.684326710816777,20.52980132450331,18.211920529801326,6.953642384105961,164.0
160.0,17.05426356589147,30.62015503875969,24.41860465116279,18.6046511627907,9.30232558139535,142.0
165.0,22.55639097744361,28.195488721804512,29.69924812030075,15.789473684210526,3.7593984962406015,141.0
170.0,21.721311475409838,39.75409836065574,19.672131147540984,15.573770491803279,3.278688524590164,131.0
175.0,25.980392156862745,34.31372549019608,21.568627450980394,14.215686274509803,3.9215686274509802,106.0
180.0,16.0,38.0,22.0,19.0,5.0,107.0
185.0,23.076923076923077,32.69230769230769,26.923076923076923,10.897435897435898,6.410256410256411,86.0
190.0,35.34798534798534,30.586080586080588,20.87912087912088,10.989010989010989,2.197802197802198,101.0
195.0,21.428571428571427,33.92857142857143,29.166666666666668,10.714285714285714,4.761904761904762,88.0
200.0,15.99099099099099,28.153153153153156,34.234234234234236,14.864864864864865,6.756756756756757,77.0
205.0,25.0,35.60606060606061,25.0,7.575757575757576,6.818181818181818,68.0
210.0,27.11864406779661,33.898305084745765,24.576271186440678,7.627118644067797,6.779661016949152,61.0
215.0,19.672131147540984,30.327868852459016,22.950819672131146,15.573770491803279,11.475409836065573,63.0
220.0,24.50980392156863,37.254901960784316,21.568627450980394,12.745098039215685,3.9215686274509802,54.0
225.0,21.794871794871796,35.8974358974359,26.923076923076923,12.820512820512821,2.5641025641025643,41.0
230.0,20.17543859649123,42.98245614035088,24.56140350877193,8.771929824561404,3.508771929824561,58.0
235.0,34.04255319148936,36.170212765957444,23.404255319148938,5.319148936170213,1.0638297872340425,48.0
240.0,38.23529411764706,35.294117647058826,14.705882352941176,8.823529411764707,2.9411764705882355,34.0
245.0,28.78787878787879,42.42424242424242,19.696969696969695,3.0303030303030303,6.0606060606060606,34.0
250.0,33.333333333333336,33.333333333333336,22.22222222222222,11.11111111111111,0.0,27.0
255.0,36.36363636363637,18.181818181818183,31.818181818181817,4.545454545454546,9.090909090909092,22.0
260.0,28.571428571428573,23.80952380952381,4.761904761904762,33.333333333333336,9.523809523809524,21.0
265.0,13.333333333333334,46.666666666666664,13.333333333333334,13.333333333333334,13.333333333333334,15.0
270.0,29.41176470588235,32.35294117647059,17.647058823529413,11.764705882352942,8.823529411764707,19.0
275.0,36.8421052631579,42.10526315789474,5.2631578947368425,10.526315789473685,5.2631578947368425,19.0
280.0,12.5,25.0,25.0,31.25,6.25,16.0
285.0,13.333333333333334,36.666666666666664,13.333333333333334,36.666666666666664,0.0,16.0
290.0,8.333333333333334,16.666666666666668,66.66666666666667,8.333333333333334,0.0,12.0
