Data,Mandante,,Visitante,Vitória doMandante,Empate,Vitória doVisitante
12/06/2023,Confiança,2x2,Náutico,44.7 %,26.7 %,28.6 %
12/06/2023,Paysandu,1x1,São Bernardo,14.7 %,25.2 %,60.0 %
12/06/2023,Figueirense,1x2,Pouso Alegre,47.7 %,36.4 %,15.9 %
17/06/2023,América RN,0x1,Confiança,48.1 %,29.4 %,22.5 %
17/06/2023,Pouso Alegre,0x2,Remo,47.6 %,30.2 %,22.2 %
17/06/2023,Altos,2x3,Amazonas,16.4 %,24.9 %,58.7 %
17/06/2023,Brusque,0x1,Figueirense,54.9 %,31.2 %,13.9 %
18/06/2023,Ypiranga RS,0x2,Operário PR,52.6 %,24.0 %,23.3 %
18/06/2023,Paysandu,2x1,Floresta,34.9 %,33.7 %,31.4 %
18/06/2023,Manaus,1x4,São José RS,22.1 %,31.1 %,46.7 %
19/06/2023,São Bernardo,0x3,Volta Redonda,60.6 %,20.8 %,18.6 %
19/06/2023,Botafogo PB,1x1,Náutico,38.9 %,27.3 %,33.9 %
20/06/2023,CSA,1x1,Aparecidense,59.7 %,28.6 %,11.7 %
24/06/2023,Remo,1x1,Figueirense,48.7 %,26.8 %,24.5 %
24/06/2023,Manaus,3x3,Confiança,20.5 %,29.4 %,50.1 %
24/06/2023,Brusque,2x0,Floresta,55.9 %,33.8 %,10.2 %
25/06/2023,São José RS,2x2,São Bernardo,40.0 %,27.3 %,32.7 %
25/06/2023,Volta Redonda,2x1,Ypiranga RS,53.2 %,20.9 %,25.9 %
25/06/2023,Altos,0x0,Pouso Alegre,25.8 %,31.7 %,42.6 %
26/06/2023,Operário PR,1x0,Aparecidense,59.3 %,25.6 %,15.0 %
27/06/2023,Botafogo PB,3x2,Paysandu,52.6 %,28.0 %,19.3 %
28/06/2023,Náutico,0x1,Amazonas,37.8 %,26.1 %,36.2 %
28/06/2023,CSA,0x1,América RN,44.6 %,35.1 %,20.2 %
01/07/2023,Paysandu,0x2,Brusque,27.7 %,32.6 %,39.7 %
01/07/2023,São Bernardo,0x0,Botafogo PB,65.0 %,22.6 %,12.5 %
01/07/2023,Confiança,1x1,Ypiranga RS,45.3 %,24.5 %,30.2 %
01/07/2023,Aparecidense,1x0,Manaus,58.8 %,26.1 %,15.0 %
02/07/2023,Volta Redonda,1x1,CSA,57.8 %,23.0 %,19.2 %
02/07/2023,Floresta,0x0,Remo,35.7 %,28.8 %,35.5 %
02/07/2023,Figueirense,0x0,Operário PR,43.6 %,29.9 %,26.5 %
02/07/2023,Amazonas,2x1,Pouso Alegre,67.6 %,26.5 %,5.9 %
03/07/2023,São José RS,2x0,América RN,50.1 %,27.3 %,22.5 %
03/07/2023,Náutico,1x0,Altos,71.2 %,19.2 %,9.6 %
08/07/2023,São Bernardo,1x1,Altos,81.5 %,15.7 %,2.8 %
08/07/2023,Botafogo PB,1x2,Brusque,34.9 %,33.7 %,31.3 %
08/07/2023,Amazonas,1x2,Paysandu,73.8 %,18.6 %,7.6 %
09/07/2023,América RN,1x2,Manaus,73.5 %,22.4 %,4.1 %
09/07/2023,Pouso Alegre,0x1,Floresta,48.8 %,39.0 %,12.1 %
09/07/2023,Aparecidense,2x1,São José RS,27.5 %,27.2 %,45.4 %
09/07/2023,Figueirense,1x1,CSA,45.3 %,34.2 %,20.5 %
10/07/2023,Remo,1x2,Operário PR,43.4 %,28.6 %,28.0 %
10/07/2023,Ypiranga RS,3x3,Náutico,49.9 %,24.4 %,25.7 %
10/07/2023,Confiança,0x1,Volta Redonda,39.1 %,23.0 %,37.9 %
15/07/2023,Náutico,2x1,Figueirense,47.8 %,27.5 %,24.7 %
15/07/2023,Botafogo PB,2x1,Aparecidense,50.9 %,28.0 %,21.1 %
15/07/2023,Manaus,0x0,São Bernardo,18.0 %,26.6 %,55.4 %
15/07/2023,Brusque,4x0,Confiança,56.5 %,28.1 %,15.4 %
16/07/2023,Ypiranga RS,4x1,Pouso Alegre,57.8 %,25.8 %,16.4 %
16/07/2023,Operário PR,1x0,Floresta,58.9 %,30.3 %,10.8 %
16/07/2023,CSA,2x0,São José RS,39.5 %,28.8 %,31.7 %
16/07/2023,Altos,1x1,América RN,25.6 %,31.7 %,42.7 %
17/07/2023,Paysandu,1x0,Remo,26.7 %,26.3 %,47.0 %
17/07/2023,Volta Redonda,5x1,Amazonas,48.9 %,23.2 %,27.9 %
22/07/2023,São Bernardo,0x0,América RN,59.8 %,28.6 %,11.6 %
22/07/2023,Pouso Alegre,0x1,Aparecidense,42.7 %,33.1 %,24.2 %
22/07/2023,Confiança,1x0,Operário PR,34.7 %,28.5 %,36.7 %
22/07/2023,Amazonas,0x0,Ypiranga RS,47.4 %,22.9 %,29.7 %
23/07/2023,Paysandu,1x0,CSA,32.0 %,31.5 %,36.5 %
